##Meta
#StationNumber;StartDate;EndDate ;Latitude;Longitude;Elevation;StationName                             ;EOR
#        34413;19890301 ;20201031; 47.5617;  18.9656;    256.0;Budapest Pesthidegkút                   ;EOR
#        34413;20201101 ;20240228; 47.5617;  18.9656;    256.0;Budapest Pesthidegkút                   ;EOR
##Meta END

StationNumber;    Time;     r; Q_r;  rh;Q_rh; rf1;Q_rf1; rf2;Q_rf2;EOR
        34413;20020101;   0.0;    ;   4;    ;-999;     ;-999;     ;EOR
        34413;20020102;   0.4;    ;   4;    ;   4;     ;-999;     ;EOR
        34413;20020103;   0.0;    ;   5;    ;-999;     ;-999;     ;EOR
        34413;20020104;   0.0;    ;   5;    ;-999;     ;-999;     ;EOR
        34413;20020105;   0.0;    ;   5;    ;-999;     ;-999;     ;EOR
        34413;20020106;   0.0;    ;   5;    ;-999;     ;-999;     ;EOR
        34413;20020107;   0.0;    ;   4;    ;-999;     ;-999;     ;EOR
        34413;20020108;   0.0;    ;   4;    ;-999;     ;-999;     ;EOR
        34413;20020109;   0.0;    ;   3;    ;-999;     ;-999;     ;EOR
        34413;20020110;   0.0;    ;   2;    ;-999;     ;-999;     ;EOR
        34413;20020111;   0.0;    ;   2;    ;   0;     ;-999;     ;EOR
        34413;20020112;   0.0;    ;   2;    ;   2;     ;-999;     ;EOR
        34413;20020113;   0.7;    ;   2;    ;   4;     ;-999;     ;EOR
        34413;20020114;   0.3;    ;   2;    ;   4;     ;-999;     ;EOR
        34413;20020115;   0.0;    ;   2;    ;-999;     ;-999;     ;EOR
        34413;20020116;   0.2;    ;   2;    ;   4;     ;-999;     ;EOR
        34413;20020117;   0.0;    ;   3;    ;   4;     ;-999;     ;EOR
        34413;20020118;   0.0;    ;   2;    ;-999;     ;-999;     ;EOR
        34413;20020119;   0.8;    ;   2;    ;   4;     ;-999;     ;EOR
        34413;20020120;   0.3;    ;   2;    ;   1;     ;-999;     ;EOR
        34413;20020121;   5.7;    ;  -3;    ;   1;     ;-999;     ;EOR
        34413;20020122;   0.0;    ;  -3;    ;-999;     ;-999;     ;EOR
        34413;20020123;   0.0;    ;  -3;    ;-999;     ;-999;     ;EOR
        34413;20020124;   2.4;    ;  -3;    ;   1;     ;-999;     ;EOR
        34413;20020125;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020126;   0.8;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020127;   2.1;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020128;   0.2;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020129;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020130;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020131;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020201;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020202;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020203;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020204;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020205;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020206;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020207;   0.4;    ;-999;    ;   0;     ;-999;     ;EOR
        34413;20020208;   0.1;    ;-999;    ;   0;     ;-999;     ;EOR
        34413;20020209;   2.3;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020210;   0.2;    ;-999;    ;   0;     ;-999;     ;EOR
        34413;20020211;   0.1;    ;-999;    ;   0;     ;-999;     ;EOR
        34413;20020212;   0.9;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020213;   0.0;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020214;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020215;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020216;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020217;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020218;   4.7;    ;-999;    ;   1;     ;   3;     ;EOR
        34413;20020219;   2.0;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020220;   0.4;    ;-999;    ;   0;     ;-999;     ;EOR
        34413;20020221;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020222;   1.0;    ;-999;    ;   4;     ;-999;     ;EOR
        34413;20020223;   6.3;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020224;   0.1;    ;-999;    ;   4;     ;-999;     ;EOR
        34413;20020225;   3.7;    ;  -2;    ;   4;     ;-999;     ;EOR
        34413;20020226;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020227;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020228;   0.7;    ;-999;    ;   0;     ;   3;     ;EOR
        34413;20020301;   6.8;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020302;   7.1;    ;-999;    ;   1;     ;-999;     ;EOR
        34413;20020303;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020304;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020305;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020306;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020307;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020308;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020309;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020310;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020311;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020312;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020313;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020314;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020315;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020316;   0.5;    ;-999;    ;   0;     ;-999;     ;EOR
        34413;20020317;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
        34413;20020318;   0.0;    ;-999;    ;-999;     ;-999;     ;EOR
